id,Code,Transport,Longitude,Latitude,Station,District_Name,Neighborhood_Name
504,K001,Underground,2.166078,41.442024,METRO (L3) - CANYELLES-,Nou Barris,Canyelles
505,K001,Underground,2.152798,41.402597,METRO (L3) - FONTANA (C. Gran de Gràcia)-,Gràcia,la Vila de Gràcia
506,K001,Underground,2.152815,41.402297,METRO (L3) - FONTANA-,Gràcia,la Vila de Gràcia
507,K001,Underground,2.167579,41.375091,METRO (L2) - PARAL·LEL-,Eixample,Sant Antoni
508,K001,Underground,2.167762,41.389284,METRO (L2) - PASSEIG DE GRÀCIA (Gv. Corts Catalanes)-,Eixample,la Dreta de l'Eixample
509,K001,Underground,2.190747,41.437324,METRO (L1) - SANT ANDREU-,Sant Andreu,Sant Andreu
510,K001,Underground,2.174875,41.429732,METRO (L5) - VIRREI AMAT-,Nou Barris,Vilapicina i la Torre Llobeta
511,K001,Underground,2.173076,41.403762,METRO (L5) - SAGRADA FAMÍLIA (C. de Sardenya)-,Eixample,la Sagrada Família
512,K011,Tram,2.07622,41.371003,TRAMVIA (T2) - SANT MARTÍ DE L'ERM (Baixador)-,,
513,K001,Underground,2.174231,41.404606,METRO (L5) - SAGRADA FAMÍLIA (C. de la Marina)-,Eixample,la Sagrada Família
514,K011,Tram,2.112031,41.376647,"TRAMVIA (T1,T2,T3) - SANT RAMON-",Les Corts,la Maternitat i Sant Ramon
515,K011,Tram,2.186836,41.401681,"TRAMVIA (T4, T5, T6) - GLÒRIES-",Eixample,el Fort Pienc
516,K003,RENFE,2.140341,41.379074,RENFE - SANTS ESTACIÓ-,Sants-Montjuïc,Sants
517,K001,Underground,2.175017,41.446909,METRO (L3) - ROQUETES (Vidal i Guasch)-,Nou Barris,les Roquetes
518,K001,Underground,2.126135,41.388261,METRO (L3) - MARIA CRISTINA (Av. Diagonal)-,Les Corts,Pedralbes
519,K001,Underground,2.111621,41.384639,METRO (L3) - ZONA UNIVERSITÀRIA (Av. Diagonal)-,Les Corts,Pedralbes
520,K001,Underground,2.1104,41.384138,METRO (L3) - ZONA UNIVERSITÀRIA-,Les Corts,Pedralbes
521,K001,Underground,2.238365,41.44515,METRO (L2) - PEP VENTURA-,,
522,K001,Underground,2.234255,41.441113,METRO (L2) - GORG-,,
523,K001,Underground,2.15029,41.388226,METRO (L5) - HOSPITAL CLÍNIC (C. del Comte d'Urgell)-,Eixample,la Nova Esquerra de l'Eixample
524,K001,Underground,2.171406,41.39526,METRO (L4) - GIRONA-,Eixample,la Dreta de l'Eixample
525,K001,Underground,2.185811,41.382237,METRO (L4) - BARCELONETA (Pl. de Pau Vila)-,Ciutat Vella,la Barceloneta
526,K001,Underground,2.162763,41.406051,METRO (L4) - JOANIC (C. de l'Escorial)-,Gràcia,el Camp d'en Grassot i Gràcia Nova
527,K001,Underground,2.173507,41.380969,METRO (L3) - LICEU (Pla de la Boqueria)-,Ciutat Vella,el Barri Gòtic
528,K004,Airport train,2.140341,41.379074,Tren AEROPORT - SANTS ESTACIÓ-,Sants-Montjuïc,Sants
529,K004,Airport train,2.09108,41.331201,Tren AEROPORT - PRAT DE LLOBREGAT-,,
530,K004,Airport train,2.073913,41.304419,Tren AEROPORT- AEROPORT-,,
531,K003,RENFE,2.180357,41.46161,RENFE - TORRE BARÓ-,Nou Barris,Torre Baró
532,K003,RENFE,2.169552,41.388029,RENFE - CATALUNYA-,Eixample,la Dreta de l'Eixample
533,K003,RENFE,2.180575,41.391875,RENFE - ARC DE TRIOMF-,Eixample,el Fort Pienc
534,K003,RENFE,2.073913,41.304419,RENFE - AEROPORT-,,
535,K001,Underground,2.215632,41.415468,METRO (L4) - BESÒS MAR (C. d'Alfons el Magnànim)-,Sant Martí,el Besòs i el Maresme
536,K011,Tram,2.068805,41.356785,"TRAMVIA (T1,T2) - CORNELLÀ CENTRE-",,
537,K001,Underground,2.102666,41.359299,METRO (L1) - AVINGUDA CARRILET-,,
538,K001,Underground,2.187344,41.408643,METRO (L1) - CLOT (Aragó-Meridiana)-,Sant Martí,el Clot
539,K001,Underground,2.16457,41.392896,METRO (L3) - PASSEIG DE GRÀCIA-,Eixample,la Dreta de l'Eixample
540,K001,Underground,2.108251,41.37406,METRO (L5) - PUBILLA CASES-,,
541,K001,Underground,2.172613,41.388771,METRO (L4) - URQUINAONA (Pl. d'Urquinaona)-,Eixample,la Dreta de l'Eixample
542,K001,Underground,2.166884,41.412047,METRO (L4) - ALFONS X (C. de Lepant)-,Horta-Guinardó,el Baix Guinardó
543,K001,Underground,2.148073,41.423133,METRO (L5) - EL COLL / LA TEIXONERA (Pl. de Sant Crispí)-,Horta-Guinardó,la Teixonera
544,K001,Underground,2.209959,41.408155,METRO (L4) - SELVA DE MAR-,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou
545,K001,Underground,2.180938,41.414999,METRO (L5) - CAMP DE L'ARPA-,Sant Martí,el Camp de l'Arpa del Clot
546,K001,Underground,2.099238,41.371318,METRO (L5) - CAN VIDALET-,,
547,K001,Underground,2.217243,41.441476,METRO (L10) - LLEFIÀ-,,
548,K001,Underground,2.139358,41.368228,FGC (L8) - MAGÒRIA-LA CAMPANA-,Sants-Montjuïc,la Bordeta
549,K001,Underground,2.111765,41.350916,METRO (L1) - BELLVITGE-,,
550,K001,Underground,2.068427,41.351845,FGC (L8) - CORNELLÀ:RIERA-,,
551,K001,Underground,2.11168,41.361271,FGC (L8) - SANT JOSEP-,,
552,K001,Underground,2.233988,41.44129,METRO (L2) - GORG-,,
553,K002,Railway (FGC),2.157649,41.393362,FGC - PROVENÇA (C. del Rossellò)-,Eixample,la Dreta de l'Eixample
554,K002,Railway (FGC),2.11168,41.361271,FGC - SANT JOSEP-,,
555,K002,Railway (FGC),2.143265,41.403133,FGC - PADUA-,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
556,K002,Railway (FGC),2.103422,41.357794,FGC - L'HOSPITALET-AV. CARRILET-,,
557,K002,Railway (FGC),2.143251,41.398645,FGC - MUNTANER-,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
558,K002,Railway (FGC),2.167646,41.386095,FGC - CATALUNYA (C. de Bergara)-,Eixample,la Dreta de l'Eixample
559,K001,Underground,2.106694,41.344339,METRO (L1) - HOSPITAL DE BELLVITGE-,,
560,K001,Underground,2.207161,41.451444,METRO (L1) - SANTA COLOMA-,,
561,K001,Underground,2.184196,41.428993,METRO (L1) - FABRA I PUIG (C. de Concepción Arenal)-,Sant Andreu,Sant Andreu
562,K001,Underground,2.187198,41.422492,METRO (L1) - LA SAGRERA-,Sant Andreu,la Sagrera
563,K002,Railway (FGC),2.091563,41.427474,FGC - LES PLANES-,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes"
564,K002,Railway (FGC),2.130075,41.398154,FGC - LES TRES TORRES<center>-,Sarrià-Sant Gervasi,les Tres Torres
565,K002,Railway (FGC),2.09734,41.419668,FGC - BAIXADOR DE VALLVIDRERA-,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes"
566,K011,Tram,2.136863,41.410697,TRAMVIA BLAU - AV. TIBIDABO (Pl. John Kennedy-Mas Yebra)-,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova
567,K001,Underground,2.17722,41.424489,"METRO (L4,L5) - MARAGALL (Pg. de Maragall)-",Sant Andreu,el Congrés i els Indians
568,K002,Railway (FGC),2.168784,41.385795,FGC - CATALUNYA-,Eixample,la Dreta de l'Eixample
569,K008,Maritime station,2.179963,41.360193,Terminal Marítima C *Creuers,Sants-Montjuïc,la Marina del Prat Vermell
570,K001,Underground,2.244209,41.449132,METRO (L2) - BADALONA - POMPEU FABRA-,,
571,K001,Underground,2.158326,41.392331,"FGC (L6,L7) - PROVENÇA (C. de Provença)-",Eixample,l'Antiga Esquerra de l'Eixample
572,K001,Underground,2.200095,41.418604,METRO (L2) - SANT MARTÍ (Rambla Guipúscoa)-,Sant Martí,Sant Martí de Provençals
573,K001,Underground,2.176475,41.425869,METRO (L5) - MARAGALL-,Nou Barris,Vilapicina i la Torre Llobeta
574,K001,Underground,2.186497,41.420554,"METRO (L5,L9,L10) - LA SAGRERA (C. Felipe II)-",Sant Andreu,Navas
575,K001,Underground,2.147573,41.401403,FGC (L7) - PLAÇA MOLINA-,Sarrià-Sant Gervasi,el Putxet i el Farró
576,K001,Underground,2.142547,41.425262,METRO (L3) - VALL D'HEBRON-,Horta-Guinardó,Montbau
577,K001,Underground,2.144798,41.411753,METRO (L3) - VALLCARCA (Av. de l'Hospital Militar)-,Gràcia,Vallcarca i els Penitents
578,K001,Underground,2.191499,41.395301,METRO (L4) - BOGATELL-,Sant Martí,el Parc i la Llacuna del Poblenou
579,K002,Railway (FGC),2.139256,41.406043,FGC - EL PUTXET-,Sarrià-Sant Gervasi,el Putxet i el Farró
580,K001,Underground,2.1759,41.425733,METRO (L5) - MARAGALL (Pg.de Maragall)-,Nou Barris,Vilapicina i la Torre Llobeta
581,K001,Underground,2.176285,41.376817,METRO (L3) - DRASSANES-,Ciutat Vella,el Raval
582,K001,Underground,2.175562,41.403847,METRO (L2) - SAGRADA FAMÍLIA (Pl. de Gaudí)-,Eixample,la Sagrada Família
583,K001,Underground,2.138845,41.375468,METRO (L1) - PLAÇA DE SANTS (C. de Sants)-,Sants-Montjuïc,Sants
